01	437	
02	850	
03	1252
08	865	
09	437	
0A	850	
0B	437	
0D	437	
0E	850	
0F	437	
10	850	
11	437	
12	850	
13	932	
14	850	
15	437	
16	850	
17	865	
18	437	
19	437	
1A	850	
1B	437	
1C	863	
1D	850	
1F	852	
22	852	
23	852	
24	860	
25	850	
26	866	
37	850	
40	852	
4D	936	
4E	949	
4F	950	
50	874	
57	1252	
58	1252	
59	1252	
64	852	
65	866	
66	865	
67	861	
6A	737	
6B	857	
6C	863	
78	950	
79	949	
7A	936	
7B	932	
7C	874	
86	737	
87	852	
88	857	
C8	1250	
C9	1251	
CA	1254	
CB	1253	
CC	1257	
